strain	virus	date	country	continent	division	location	host_type	length	authors	source	lineage	lineage_truncated
KR733266.1	Influenza B virus	2011-03-22	Taiwan	Asia			Homo sapiens	1832	Shih,S.-R., Velu,A.B., Kuo,S.-M., Dash,S., Chen,G.-W., Han,Y.-J., Tsao,K.-C.	ncbi	A	A
KC020373.1	Influenza B virus	2011-06-01	Cambodia	Asia			Homo sapiens	1827	Buchy,P.	ncbi	A	A
KC020369.1	Influenza B virus	2011-02-01	Cambodia	Asia			Homo sapiens	1827	Buchy,P.	ncbi	B	B
JX513046.1	Influenza B virus	2011-01-01	Thailand	Asia			Homo sapiens	1827	Suwannakarn,K., Vichaiwattana,P., Korkong,S., Theamboonlers,A., Poovorawan,Y.	ncbi	A	A
MH703065.1	Influenza B virus	2011-12-07	India	Asia			Homo sapiens	1824	Potdar,V., Hinge,D., Koul,F.	ncbi	A	A
MH703066.1	Influenza B virus	2011-11-24	India	Asia			Homo sapiens	1824	Potdar,V., Hinge,D., Koul,F.	ncbi	A	A
JX513198.1	Influenza B virus	2011-07-26	Thailand	Asia			Homo sapiens	1823	Suwannakarn,K., Vichaiwattana,P., Korkong,S., Theamboonlers,A., Poovorawan,Y.	ncbi	A	A
KC020374.1	Influenza B virus	2011-06-09	Cambodia	Asia			Homo sapiens	1823	Buchy,P.	ncbi	A	A
JX513126.1	Influenza B virus	2011-03-22	Thailand	Asia			Homo sapiens	1822	Suwannakarn,K., Vichaiwattana,P., Korkong,S., Theamboonlers,A., Poovorawan,Y.	ncbi	A	A
KC020384.1	Influenza B virus	2011-12-17	Cambodia	Asia			Homo sapiens	1809	Buchy,P.	ncbi	A	A
KC020377.1	Influenza B virus	2011-08-17	Cambodia	Asia			Homo sapiens	1809	Buchy,P.	ncbi	A	A
JX513062.1	Influenza B virus	2011-08-27	Thailand	Asia			Homo sapiens	1798	Suwannakarn,K., Vichaiwattana,P., Korkong,S., Theamboonlers,A., Poovorawan,Y.	ncbi	A	A
JN872400.1	Influenza B virus	2011-06-13	Brazil	South America			Homo sapiens	1758	Santos,C.L.S., Borborema,S.E.T., Correa,K.O., Silva,D.B.B., Oliveira,M.I., Paiva,T.M.	ncbi	B	B
JN872399.1	Influenza B virus	2011-06-02	Brazil	South America			Homo sapiens	1758	Santos,C.L.S., Borborema,S.E.T., Correa,K.O., Silva,D.B.B., Oliveira,M.I., Paiva,T.M.	ncbi	A	A
JN872398.1	Influenza B virus	2011-05-20	Brazil	South America			Homo sapiens	1758	Santos,C.L.S., Borborema,S.E.T., Correa,K.O., Silva,D.B.B., Oliveira,M.I., Paiva,T.M.	ncbi	A	A
JN872397.1	Influenza B virus	2011-05-19	Brazil	South America			Homo sapiens	1758	Santos,C.L.S., Borborema,S.E.T., Correa,K.O., Silva,D.B.B., Oliveira,M.I., Paiva,T.M.	ncbi	A	A
JN872396.1	Influenza B virus	2011-05-11	Brazil	South America			Homo sapiens	1758	Santos,C.L.S., Borborema,S.E.T., Correa,K.O., Silva,D.B.B., Oliveira,M.I., Paiva,T.M.	ncbi	B	B
OP678268.1	Influenza B virus	2011-05-05	Bhutan	Asia			Homo sapiens	1758	Wangchuk,S., Thapa,B., Gyeltshen,S., Dorji,K., Zangmo,S., Yuden,P., Chinnawirotpisan,P., Phonpakobsin,T., Rodpradit,P., Joonlasak,K., Manasatienkij,W., Klungthong,C., Fernandez,S.	ncbi	B	B
JN872395.1	Influenza B virus	2011-05-01	Brazil	South America			Homo sapiens	1758	Santos,C.L.S., Borborema,S.E.T., Correa,K.O., Silva,D.B.B., Oliveira,M.I., Paiva,T.M.	ncbi	B	B
JN872394.1	Influenza B virus	2011-04-22	Brazil	South America			Homo sapiens	1758	Santos,C.L.S., Borborema,S.E.T., Correa,K.O., Silva,D.B.B., Oliveira,M.I., Paiva,T.M.	ncbi	B	B
JN872393.1	Influenza B virus	2011-04-19	Brazil	South America			Homo sapiens	1758	Santos,C.L.S., Borborema,S.E.T., Correa,K.O., Silva,D.B.B., Oliveira,M.I., Paiva,T.M.	ncbi	B	B
JN872392.1	Influenza B virus	2011-04-18	Brazil	South America			Homo sapiens	1758	Santos,C.L.S., Borborema,S.E.T., Correa,K.O., Silva,D.B.B., Oliveira,M.I., Paiva,T.M.	ncbi	B	B
OP678267.1	Influenza B virus	2011-04-14	Bhutan	Asia			Homo sapiens	1758	Wangchuk,S., Thapa,B., Gyeltshen,S., Dorji,K., Zangmo,S., Yuden,P., Chinnawirotpisan,P., Phonpakobsin,T., Rodpradit,P., Joonlasak,K., Manasatienkij,W., Klungthong,C., Fernandez,S.	ncbi	B	B
JN872391.1	Influenza B virus	2011-03-11	Brazil	South America			Homo sapiens	1758	Santos,C.L.S., Borborema,S.E.T., Correa,K.O., Silva,D.B.B., Oliveira,M.I., Paiva,T.M.	ncbi	B	B
JN872390.1	Influenza B virus	2011-03-03	Brazil	South America			Homo sapiens	1758	Santos,C.L.S., Borborema,S.E.T., Correa,K.O., Silva,D.B.B., Oliveira,M.I., Paiva,T.M.	ncbi	A	A
JN872389.1	Influenza B virus	2011-02-23	Brazil	South America			Homo sapiens	1758	Santos,C.L.S., Borborema,S.E.T., Correa,K.O., Silva,D.B.B., Oliveira,M.I., Paiva,T.M.	ncbi	B	B
KF301651.1	Influenza B virus	2011-02-20	Russia	Europe/Asia			Homo sapiens	1758	Sobolev,I.A., Kurskaya,O.G., Durymanov,A.G., Ilyicheva,T.N., Bondar,A.A., Ivanova,E.V., Ivanova,L.K., Shestopalov,A.M.	ncbi	B	B
KF301653.1	Influenza B virus	2011-02-11	Russia	Europe/Asia			Homo sapiens	1758	Sobolev,I.A., Kurskaya,O.G., Durymanov,A.G., Ilyicheva,T.N., Bondar,A.A., Ivanova,E.V., Ivanova,L.K., Shestopalov,A.M.	ncbi	B	B
JN872387.1	Influenza B virus	2011-02-02	Brazil	South America			Homo sapiens	1758	Santos,C.L.S., Borborema,S.E.T., Correa,K.O., Silva,D.B.B., Oliveira,M.I., Paiva,T.M.	ncbi	B	B
JF346749.1	Influenza B virus	2011-01-17	Denmark	Europe			Homo sapiens	1758	Andresen,B.S., Nielsen,L.P.	ncbi	A	A
JN872386.1	Influenza B virus	2011-01-14	Brazil	South America			Homo sapiens	1758	Santos,C.L.S., Borborema,S.E.T., Correa,K.O., Silva,D.B.B., Oliveira,M.I., Paiva,T.M.	ncbi	B	B
KU529075.1	Influenza B virus	2011-02-09	Italy	Europe			Homo sapiens	1755	Tramuto,F., Orsi,A., Maida,C.M., Costantino,C., Trucchi,C., Alicino,C., Vitale,F., Ansaldi,F.	ncbi	B	B
KU529071.1	Influenza B virus	2011-01-24	Italy	Europe			Homo sapiens	1755	Tramuto,F., Orsi,A., Maida,C.M., Costantino,C., Trucchi,C., Alicino,C., Vitale,F., Ansaldi,F.	ncbi	B	B
KU529084.1	Influenza B virus	2011-01-24	Italy	Europe			Homo sapiens	1755	Tramuto,F., Orsi,A., Maida,C.M., Costantino,C., Trucchi,C., Alicino,C., Vitale,F., Ansaldi,F.	ncbi	B	B
KU529079.1	Influenza B virus	2011-01-20	Italy	Europe			Homo sapiens	1755	Tramuto,F., Orsi,A., Maida,C.M., Costantino,C., Trucchi,C., Alicino,C., Vitale,F., Ansaldi,F.	ncbi	B	B
KU529073.1	Influenza B virus	2011-01-24	Italy	Europe			Homo sapiens	1752	Tramuto,F., Orsi,A., Maida,C.M., Costantino,C., Trucchi,C., Alicino,C., Vitale,F., Ansaldi,F.	ncbi	B	B
MF441030.1	Influenza B virus	2011-12-01	South Korea	Asia			Homo sapiens	1749	Nam,J.-H., Kim,J.-K.	ncbi	A	A
KU529078.1	Influenza B virus	2011-02-12	Italy	Europe			Homo sapiens	1749	Tramuto,F., Orsi,A., Maida,C.M., Costantino,C., Trucchi,C., Alicino,C., Vitale,F., Ansaldi,F.	ncbi	B	B
KU529080.1	Influenza B virus	2011-01-31	Italy	Europe			Homo sapiens	1746	Tramuto,F., Orsi,A., Maida,C.M., Costantino,C., Trucchi,C., Alicino,C., Vitale,F., Ansaldi,F.	ncbi	B	B
KJ683779.1	Influenza B virus	2011-09-25	India	Asia			Homo sapiens	1741	Kumar,S., Khare,S., Saidullah,B., Rai,A.	ncbi	A	A
KJ683778.1	Influenza B virus	2011-09-22	India	Asia			Homo sapiens	1741	Kumar,S., Khare,S., Saidullah,B., Rai,A.	ncbi	A	A
KJ683775.1	Influenza B virus	2011-09-13	India	Asia			Homo sapiens	1741	Kumar,S., Khare,S., Saidullah,B., Rai,A.	ncbi	A	A
KJ683777.1	Influenza B virus	2011-09-13	India	Asia			Homo sapiens	1741	Kumar,S., Khare,S., Saidullah,B., Rai,A.	ncbi	A	A
KU529068.1	Influenza B virus	2011-02-11	Italy	Europe			Homo sapiens	1740	Tramuto,F., Orsi,A., Maida,C.M., Costantino,C., Trucchi,C., Alicino,C., Vitale,F., Ansaldi,F.	ncbi	B	B
KU529077.1	Influenza B virus	2011-01-27	Italy	Europe			Homo sapiens	1740	Tramuto,F., Orsi,A., Maida,C.M., Costantino,C., Trucchi,C., Alicino,C., Vitale,F., Ansaldi,F.	ncbi	B	B
MF440966.1	Influenza B virus	2011-12-01	South Korea	Asia			Homo sapiens	1738	Nam,J.-H., Kim,J.-K.	ncbi	A	A
MF440980.1	Influenza B virus	2011-12-01	South Korea	Asia			Homo sapiens	1738	Nam,J.-H., Kim,J.-K.	ncbi	A	A
KU529069.1	Influenza B virus	2011-01-29	Italy	Europe			Homo sapiens	1737	Tramuto,F., Orsi,A., Maida,C.M., Costantino,C., Trucchi,C., Alicino,C., Vitale,F., Ansaldi,F.	ncbi	B	B
KU529082.1	Influenza B virus	2011-01-29	Italy	Europe			Homo sapiens	1734	Tramuto,F., Orsi,A., Maida,C.M., Costantino,C., Trucchi,C., Alicino,C., Vitale,F., Ansaldi,F.	ncbi	B	B
CY109177.1	Influenza B virus	2011-04-13	Russia	Europe/Asia			Homo sapiens	1733	Prokopetz,A.V., Danilenko,D.M., Komissarov,A.B., Payankova,A.A., Pisareva,M.M., Eropkin,M.Yu., Grudinin,M.P., Kiselev,O.I., Ivanov,I.V., Luong,T.Mo.	ncbi	B	B
CY109173.1	Influenza B virus	2011-04-04	Russia	Europe/Asia			Homo sapiens	1733	Prokopetz,A.V., Danilenko,D.M., Komissarov,A.B., Payankova,A.A., Pisareva,M.M., Eropkin,M.Yu., Grudinin,M.P., Kiselev,O.I., Ivanov,I.V., Luong,T.Mo.	ncbi	B	B
CY109171.1	Influenza B virus	2011-03-04	Russia	Europe/Asia			Homo sapiens	1733	Prokopetz,A.V., Danilenko,D.M., Komissarov,A.B., Payankova,A.A., Pisareva,M.M., Eropkin,M.Yu., Grudinin,M.P., Kiselev,O.I., Ivanov,I.V., Luong,T.Mo.	ncbi	B	B
CY109187.1	Influenza B virus	2011-02-20	Russia	Europe/Asia			Homo sapiens	1733	Prokopetz,A.V., Danilenko,D.M., Komissarov,A.B., Payankova,A.A., Pisareva,M.M., Eropkin,M.Yu., Grudinin,M.P., Kiselev,O.I., Ivanov,I.V., Luong,T.Mo.	ncbi	B	B
CY109181.1	Influenza B virus	2011-02-14	Russia	Europe/Asia			Homo sapiens	1733	Prokopetz,A.V., Danilenko,D.M., Komissarov,A.B., Payankova,A.A., Pisareva,M.M., Eropkin,M.Yu., Grudinin,M.P., Kiselev,O.I., Ivanov,I.V., Luong,T.Mo.	ncbi	B	B
CY109175.1	Influenza B virus	2011-02-10	Russia	Europe/Asia			Homo sapiens	1733	Prokopetz,A.V., Danilenko,D.M., Komissarov,A.B., Payankova,A.A., Pisareva,M.M., Eropkin,M.Yu., Grudinin,M.P., Kiselev,O.I., Ivanov,I.V., Luong,T.Mo.	ncbi	B	B
CY109169.1	Influenza B virus	2011-02-01	Russia	Europe/Asia			Homo sapiens	1733	Prokopetz,A.V., Danilenko,D.M., Komissarov,A.B., Payankova,A.A., Pisareva,M.M., Eropkin,M.Yu., Grudinin,M.P., Kiselev,O.I., Ivanov,I.V., Luong,T.Mo.	ncbi	B	B
CY109189.1	Influenza B virus	2011-01-28	Russia	Europe/Asia			Homo sapiens	1733	Prokopetz,A.V., Danilenko,D.M., Komissarov,A.B., Payankova,A.A., Pisareva,M.M., Eropkin,M.Yu., Grudinin,M.P., Kiselev,O.I., Ivanov,I.V., Luong,T.Mo.	ncbi	B	B
KC291188.1	Influenza B virus	2012-02-18	Brazil	South America			Homo sapiens	1758	Borborema,S.E.T., Santos,K.C.O., Silva,D.B.B., Paiva,T.M., Santos,C.L.S.	ncbi	A	A
KC291189.1	Influenza B virus	2012-02-16	Brazil	South America			Homo sapiens	1758	Borborema,S.E.T., Santos,K.C.O., Silva,D.B.B., Paiva,T.M., Santos,C.L.S.	ncbi	A	A
JX679215.1	Influenza B virus	2012-02-15	Brazil	South America			Homo sapiens	1758	Borborema,S.E.T., Santos,K.C.O., Silva,D.B.	ncbi	A	A
MH703067.1	Influenza B virus	2012-01-11	India	Asia			Homo sapiens	1819	Potdar,V., Hinge,D., Koul,F.	ncbi	A	A
KJ683802.1	Influenza B virus	2012-10-17	India	Asia			Homo sapiens	1816	Kumar,S., Khare,S., Saidullah,B., Rai,A.	ncbi	A	A
KJ683795.1	Influenza B virus	2012-09-13	India	Asia			Homo sapiens	1816	Kumar,S., Khare,S., Saidullah,B., Rai,A.	ncbi	A	A
KJ683796.1	Influenza B virus	2012-09-13	India	Asia			Homo sapiens	1816	Kumar,S., Khare,S., Saidullah,B., Rai,A.	ncbi	A	A
KJ683793.1	Influenza B virus	2012-09-10	India	Asia			Homo sapiens	1816	Kumar,S., Khare,S., Saidullah,B., Rai,A.	ncbi	A	A
KJ683794.1	Influenza B virus	2012-09-09	India	Asia			Homo sapiens	1816	Kumar,S., Khare,S., Saidullah,B., Rai,A.	ncbi	A	A
KJ683791.1	Influenza B virus	2012-09-04	India	Asia			Homo sapiens	1816	Kumar,S., Khare,S., Saidullah,B., Rai,A.	ncbi	A	A
KJ683790.1	Influenza B virus	2012-09-01	India	Asia			Homo sapiens	1816	Kumar,S., Khare,S., Saidullah,B., Rai,A.	ncbi	A	A
KJ683792.1	Influenza B virus	2012-09-01	India	Asia			Homo sapiens	1816	Kumar,S., Khare,S., Saidullah,B., Rai,A.	ncbi	A	A
KJ683788.1	Influenza B virus	2012-08-23	India	Asia			Homo sapiens	1816	Kumar,S., Khare,S., Saidullah,B., Rai,A.	ncbi	A	A
KJ683787.1	Influenza B virus	2012-08-21	India	Asia			Homo sapiens	1816	Kumar,S., Khare,S., Saidullah,B., Rai,A.	ncbi	A	A
KJ683786.1	Influenza B virus	2012-07-20	India	Asia			Homo sapiens	1816	Kumar,S., Khare,S., Saidullah,B., Rai,A.	ncbi	A	A
KJ683785.1	Influenza B virus	2012-06-11	India	Asia			Homo sapiens	1816	Kumar,S., Khare,S., Saidullah,B., Rai,A.	ncbi	A	A
KJ683784.1	Influenza B virus	2012-02-26	India	Asia			Homo sapiens	1816	Kumar,S., Khare,S., Saidullah,B., Rai,A.	ncbi	A	A
KJ683783.1	Influenza B virus	2012-02-15	India	Asia			Homo sapiens	1816	Kumar,S., Khare,S., Saidullah,B., Rai,A.	ncbi	A	A
OR240972.1	Influenza B virus	2012-11-29	Kenya	Africa			Homo sapiens	1758	Nyarango,B.K., Makori,T.O., Lambisia,A.W., Mwita,J.M., Murunga,N., Mutunga,M., Githinji,G.L., Nokes,J., Agoti,C.N.	ncbi	A	A
OR240973.1	Influenza B virus	2012-11-26	Kenya	Africa			Homo sapiens	1758	Nyarango,B.K., Makori,T.O., Lambisia,A.W., Mwita,J.M., Murunga,N., Mutunga,M., Githinji,G.L., Nokes,J., Agoti,C.N.	ncbi	A	A
OR240974.1	Influenza B virus	2012-11-17	Kenya	Africa			Homo sapiens	1758	Nyarango,B.K., Makori,T.O., Lambisia,A.W., Mwita,J.M., Murunga,N., Mutunga,M., Githinji,G.L., Nokes,J., Agoti,C.N.	ncbi	A	A
OR240975.1	Influenza B virus	2012-10-01	Kenya	Africa			Homo sapiens	1758	Nyarango,B.K., Makori,T.O., Lambisia,A.W., Mwita,J.M., Murunga,N., Mutunga,M., Githinji,G.L., Nokes,J., Agoti,C.N.	ncbi	A	A
OR240976.1	Influenza B virus	2012-03-30	Kenya	Africa			Homo sapiens	1758	Nyarango,B.K., Makori,T.O., Lambisia,A.W., Mwita,J.M., Murunga,N., Mutunga,M., Githinji,G.L., Nokes,J., Agoti,C.N.	ncbi	A	A
OR240977.1	Influenza B virus	2012-01-22	Kenya	Africa			Homo sapiens	1758	Nyarango,B.K., Makori,T.O., Lambisia,A.W., Mwita,J.M., Murunga,N., Mutunga,M., Githinji,G.L., Nokes,J., Agoti,C.N.	ncbi	A	A
KR073380.1	Influenza B virus	2012-11-09	Malaysia	Asia			Homo sapiens	1836	Oong,X.Y., Ng,K.T., Lam,T.T., Pang,Y.K., Chan,K.G., Hanafi,N.S., Kamarulzaman,A., Tee,K.K.	ncbi	B	B
KR073386.1	Influenza B virus	2012-12-26	Malaysia	Asia			Homo sapiens	1836	Oong,X.Y., Ng,K.T., Lam,T.T., Pang,Y.K., Chan,K.G., Hanafi,N.S., Kamarulzaman,A., Tee,K.K.	ncbi	A	A
KR073385.1	Influenza B virus	2012-12-03	Malaysia	Asia			Homo sapiens	1836	Oong,X.Y., Ng,K.T., Lam,T.T., Pang,Y.K., Chan,K.G., Hanafi,N.S., Kamarulzaman,A., Tee,K.K.	ncbi	A	A
KR073382.1	Influenza B virus	2012-11-23	Malaysia	Asia			Homo sapiens	1836	Oong,X.Y., Ng,K.T., Lam,T.T., Pang,Y.K., Chan,K.G., Hanafi,N.S., Kamarulzaman,A., Tee,K.K.	ncbi	A	A
KR073378.1	Influenza B virus	2012-10-17	Malaysia	Asia			Homo sapiens	1836	Oong,X.Y., Ng,K.T., Lam,T.T., Pang,Y.K., Chan,K.G., Hanafi,N.S., Kamarulzaman,A., Tee,K.K.	ncbi	A	A
KR073375.1	Influenza B virus	2012-10-08	Malaysia	Asia			Homo sapiens	1836	Oong,X.Y., Ng,K.T., Lam,T.T., Pang,Y.K., Chan,K.G., Hanafi,N.S., Kamarulzaman,A., Tee,K.K.	ncbi	A	A
KR073377.1	Influenza B virus	2012-10-08	Malaysia	Asia			Homo sapiens	1836	Oong,X.Y., Ng,K.T., Lam,T.T., Pang,Y.K., Chan,K.G., Hanafi,N.S., Kamarulzaman,A., Tee,K.K.	ncbi	A	A
KR073373.1	Influenza B virus	2012-10-04	Malaysia	Asia			Homo sapiens	1836	Oong,X.Y., Ng,K.T., Lam,T.T., Pang,Y.K., Chan,K.G., Hanafi,N.S., Kamarulzaman,A., Tee,K.K.	ncbi	A	A
KR073367.1	Influenza B virus	2012-07-23	Malaysia	Asia			Homo sapiens	1836	Oong,X.Y., Ng,K.T., Lam,T.T., Pang,Y.K., Chan,K.G., Hanafi,N.S., Kamarulzaman,A., Tee,K.K.	ncbi	A	A
KR073366.1	Influenza B virus	2012-07-11	Malaysia	Asia			Homo sapiens	1836	Oong,X.Y., Ng,K.T., Lam,T.T., Pang,Y.K., Chan,K.G., Hanafi,N.S., Kamarulzaman,A., Tee,K.K.	ncbi	A	A
KR073362.1	Influenza B virus	2012-05-14	Malaysia	Asia			Homo sapiens	1836	Oong,X.Y., Ng,K.T., Lam,T.T., Pang,Y.K., Chan,K.G., Hanafi,N.S., Kamarulzaman,A., Tee,K.K.	ncbi	A	A
KR073361.1	Influenza B virus	2012-05-11	Malaysia	Asia			Homo sapiens	1836	Oong,X.Y., Ng,K.T., Lam,T.T., Pang,Y.K., Chan,K.G., Hanafi,N.S., Kamarulzaman,A., Tee,K.K.	ncbi	A	A
KR073360.1	Influenza B virus	2012-05-09	Malaysia	Asia			Homo sapiens	1836	Oong,X.Y., Ng,K.T., Lam,T.T., Pang,Y.K., Chan,K.G., Hanafi,N.S., Kamarulzaman,A., Tee,K.K.	ncbi	A	A
KR073358.1	Influenza B virus	2012-05-04	Malaysia	Asia			Homo sapiens	1836	Oong,X.Y., Ng,K.T., Lam,T.T., Pang,Y.K., Chan,K.G., Hanafi,N.S., Kamarulzaman,A., Tee,K.K.	ncbi	A	A
CY112228.1	Influenza B virus	2012-02-17	Mongolia	Asia			Homo sapiens	1809	Naranzul,T., Enkhsaikhan,D., Nymaa,G., Nymadawa,P.	ncbi	A	A
CY112229.1	Influenza B virus	2012-03-02	Mongolia	Asia			Homo sapiens	1850	Naranzul,T., Enkhsaikhan,D., Nymaa,G., Nymadawa,P.	ncbi	A	A
CY182457.1	Influenza B virus	2012-09-03	Nicaragua	North America			Homo sapiens	1850	Wentworth,D.E., Halpin,R.A., Lin,X., Bera,J., Akopov,A., Ransier,A., Mohan,M., Fedorova,N., Tsitrin,T., Puri,V., Stockwell,T., Amedeo,P., Appalla,L., Bishop,B., Edworthy,P., Gupta,N., Hoover,J., Katzel,D., Li,K., Schobel,S., Shrivastava,S., Thovarai,V., Wang,S., Bao,Y., Sanders,R., Zhdanov,S., Kiryutin,B., Lipman,D.J., Tatusova,T., Gordon,A.	ncbi	B	B
CY264025.1	Influenza B virus	2012-11-19	Nicaragua	North America			Homo sapiens	1850	Tan,G., Pickett,B., Fedorova,N., Amedeo,P., Isom,R., Hu,L., Christensen,J., Durbin,A., Williams,T., Alanis,R., Balmaseda,A., Bao,Y., Sanders,R., Zhdanov,S., Kiryutin,B., Lipman,D.J., Tatusova,T., Hatcher,E., Gordon,A.	ncbi	A	A
CY182361.1	Influenza B virus	2012-08-29	Nicaragua	North America			Homo sapiens	1850	Wentworth,D.E., Halpin,R.A., Lin,X., Bera,J., Akopov,A., Ransier,A., Mohan,M., Fedorova,N., Tsitrin,T., Puri,V., Stockwell,T., Amedeo,P., Appalla,L., Bishop,B., Edworthy,P., Gupta,N., Hoover,J., Katzel,D., Li,K., Schobel,S., Shrivastava,S., Thovarai,V., Wang,S., Bao,Y., Sanders,R., Zhdanov,S., Kiryutin,B., Lipman,D.J., Tatusova,T., Gordon,A.	ncbi	B	B
CY264017.1	Influenza B virus	2012-11-16	Nicaragua	North America			Homo sapiens	1850	Tan,G., Pickett,B., Fedorova,N., Amedeo,P., Isom,R., Hu,L., Christensen,J., Durbin,A., Williams,T., Alanis,R., Balmaseda,A., Bao,Y., Sanders,R., Zhdanov,S., Kiryutin,B., Lipman,D.J., Tatusova,T., Hatcher,E., Gordon,A.	ncbi	A	A
CY264009.1	Influenza B virus	2012-11-14	Nicaragua	North America			Homo sapiens	1850	Tan,G., Pickett,B., Fedorova,N., Amedeo,P., Isom,R., Hu,L., Christensen,J., Durbin,A., Williams,T., Alanis,R., Balmaseda,A., Bao,Y., Sanders,R., Zhdanov,S., Kiryutin,B., Lipman,D.J., Tatusova,T., Hatcher,E., Gordon,A.	ncbi	A	A
CY264001.1	Influenza B virus	2012-11-12	Nicaragua	North America			Homo sapiens	1850	Tan,G., Pickett,B., Fedorova,N., Amedeo,P., Isom,R., Hu,L., Christensen,J., Durbin,A., Williams,T., Alanis,R., Balmaseda,A., Bao,Y., Sanders,R., Zhdanov,S., Kiryutin,B., Lipman,D.J., Tatusova,T., Hatcher,E., Gordon,A.	ncbi	A	A
CY263985.1	Influenza B virus	2012-11-10	Nicaragua	North America			Homo sapiens	1850	Tan,G., Pickett,B., Fedorova,N., Amedeo,P., Isom,R., Hu,L., Christensen,J., Durbin,A., Williams,T., Alanis,R., Balmaseda,A., Bao,Y., Sanders,R., Zhdanov,S., Kiryutin,B., Lipman,D.J., Tatusova,T., Hatcher,E., Gordon,A.	ncbi	A	A
CY182593.1	Influenza B virus	2012-11-10	Nicaragua	North America			Homo sapiens	1850	Wentworth,D.E., Halpin,R.A., Lin,X., Bera,J., Akopov,A., Ransier,A., Mohan,M., Fedorova,N., Tsitrin,T., Puri,V., Stockwell,T., Amedeo,P., Appalla,L., Bishop,B., Edworthy,P., Gupta,N., Hoover,J., Katzel,D., Li,K., Schobel,S., Shrivastava,S., Thovarai,V., Wang,S., Bao,Y., Sanders,R., Zhdanov,S., Kiryutin,B., Lipman,D.J., Tatusova,T., Gordon,A.	ncbi	A	A
CY263969.1	Influenza B virus	2012-11-08	Nicaragua	North America			Homo sapiens	1850	Tan,G., Pickett,B., Fedorova,N., Amedeo,P., Isom,R., Hu,L., Christensen,J., Durbin,A., Williams,T., Alanis,R., Balmaseda,A., Bao,Y., Sanders,R., Zhdanov,S., Kiryutin,B., Lipman,D.J., Tatusova,T., Hatcher,E., Gordon,A.	ncbi	A	A
CY263977.1	Influenza B virus	2012-11-08	Nicaragua	North America			Homo sapiens	1850	Tan,G., Pickett,B., Fedorova,N., Amedeo,P., Isom,R., Hu,L., Christensen,J., Durbin,A., Williams,T., Alanis,R., Balmaseda,A., Bao,Y., Sanders,R., Zhdanov,S., Kiryutin,B., Lipman,D.J., Tatusova,T., Hatcher,E., Gordon,A.	ncbi	A	A
CY263961.1	Influenza B virus	2012-11-07	Nicaragua	North America			Homo sapiens	1850	Tan,G., Pickett,B., Fedorova,N., Amedeo,P., Isom,R., Hu,L., Christensen,J., Durbin,A., Williams,T., Alanis,R., Balmaseda,A., Bao,Y., Sanders,R., Zhdanov,S., Kiryutin,B., Lipman,D.J., Tatusova,T., Hatcher,E., Gordon,A.	ncbi	A	A
CY182657.1	Influenza B virus	2012-11-07	Nicaragua	North America			Homo sapiens	1850	Wentworth,D.E., Halpin,R.A., Lin,X., Bera,J., Akopov,A., Ransier,A., Mohan,M., Fedorova,N., Tsitrin,T., Puri,V., Stockwell,T., Amedeo,P., Appalla,L., Bishop,B., Edworthy,P., Gupta,N., Hoover,J., Katzel,D., Li,K., Schobel,S., Shrivastava,S., Thovarai,V., Wang,S., Bao,Y., Sanders,R., Zhdanov,S., Kiryutin,B., Lipman,D.J., Tatusova,T., Gordon,A.	ncbi	A	A
CY263857.1	Influenza B virus	2012-11-06	Nicaragua	North America			Homo sapiens	1850	Tan,G., Pickett,B., Fedorova,N., Amedeo,P., Isom,R., Hu,L., Christensen,J., Durbin,A., Williams,T., Alanis,R., Balmaseda,A., Bao,Y., Sanders,R., Zhdanov,S., Kiryutin,B., Lipman,D.J., Tatusova,T., Hatcher,E., Gordon,A.	ncbi	A	A
CY182649.1	Influenza B virus	2012-11-02	Nicaragua	North America			Homo sapiens	1850	Wentworth,D.E., Halpin,R.A., Lin,X., Bera,J., Akopov,A., Ransier,A., Mohan,M., Fedorova,N., Tsitrin,T., Puri,V., Stockwell,T., Amedeo,P., Appalla,L., Bishop,B., Edworthy,P., Gupta,N., Hoover,J., Katzel,D., Li,K., Schobel,S., Shrivastava,S., Thovarai,V., Wang,S., Bao,Y., Sanders,R., Zhdanov,S., Kiryutin,B., Lipman,D.J., Tatusova,T., Gordon,A.	ncbi	A	A
CY182401.1	Influenza B virus	2012-10-31	Nicaragua	North America			Homo sapiens	1850	Wentworth,D.E., Halpin,R.A., Lin,X., Bera,J., Akopov,A., Ransier,A., Mohan,M., Fedorova,N., Tsitrin,T., Puri,V., Stockwell,T., Amedeo,P., Appalla,L., Bishop,B., Edworthy,P., Gupta,N., Hoover,J., Katzel,D., Li,K., Schobel,S., Shrivastava,S., Thovarai,V., Wang,S., Bao,Y., Sanders,R., Zhdanov,S., Kiryutin,B., Lipman,D.J., Tatusova,T., Gordon,A.	ncbi	A	A
KC488864.1	Influenza B virus	2012-04-09	Russia	Europe/Asia			Homo sapiens	1734	Komissarov,A.B., Kosheleva,A.A., Fadeev,A.V., Pisareva,M.M., Ivanova,A., Danilenko,D.M., Grudinin,M.P.	ncbi	B	B
